Name,Mammals,Birds,Reptiles*,Amphibians,Fishes*,Molluscs*,Other Inverts*,Plants*,Fungi*,Chromists*,Total
Belize,10,14,8,2,68,0,27,114,0,0,243
Costa Rica,12,31,16,56,139,2,61,463,9,0,789
El Salvador,6,16,10,8,53,0,13,108,0,0,214
Guatemala,17,25,39,96,100,2,42,479,1,0,801
Honduras,10,24,60,70,90,0,38,217,2,0,511
Mexico,97,74,107,232,306,14,160,"1,626",8,0,"2,626"
Nicaragua,9,25,11,11,98,2,36,129,0,0,321
Panama,18,24,16,78,127,0,47,281,3,0,594
